Pos Office Branch,User,Reviews,Rate,Date
Kantor Pos Jakarta Barat,Kristina Hariyani,"Lokasi mudah ditemukan. Persis setelah showroom mobil Daihatsu Daan Mogot. Ada lahan parkir mobil dan motor yg cukup luas untuk pengunjung, terpisah dari parkir mobil pengiriman Pos Indonesia. Karcis parkir resmi dari mesin jadi nominal sesuai dengan lama parkir.
Area lobby kantor pos juga ada kanopi. Di dekat pintu lobby juga ada ramp jika ada yg memerlukan. Tapi anak tangga akses masuk pintu lobby cukup tinggi dan kondisinya agak berbahaya, harus hati2 saat menuju pintu masuk.
Ruang tunggu cukup luas dan disediakan banyak kursi tunggu di dalam dan di teras gedung, jadi di dalam ruangan ber AC tanpa bau rokok. Di ruang tunggu juga ada toilet.
Waktu saya tiba kondisi sangat lengang, tidak seperti info pada google yg menginfokan kalau di jam itu kantor pos Daan Mogot sedang sibuk.
Pelayanan petugas customer service dan petugas informasi cukup ramah dan cukup membantu.
Jadwal yg ada di google adalah jadwal buka tutup kantor pos Daan Mogot, tapi masing2 layanan ada jadwal masing2 jadi harus cari info dulu sebelum datang.
Sebagai informasi, saya dapat info dari petugas di kantor pos Daan Mogot kalau ada pengiriman yg tidak berhasil dikirim karena di alamat tujuan tidak ada orang maka dari pihak kantor pos akan mengirimkan kembali sampai 3x (termasuk saat pengiriman pertama), jika tetap tidak ada penerima baru disimpan di kantor pos Daan Mogot dan harus di ambil di kantor pos Daan Mogot (sepemahaman saya mungkin akan dikenakan biaya penyimpanan).",5,3 tahun lalu
Kantor Pos Jakarta Barat,Held Ferry,"Kantornya strategis, parkir luas system pintu otomatis, pelayanan baik, packing kiriman OK, buka sampai malam.",5,Diedit 3 minggu lalu
Kantor Pos Jakarta Barat,Roby Ikhsan,"Pos Indonesia hidup di zaman yang terbelakang, tidak mau berbenah mengikuti perkembangan zaman.
Cukup sekali ini pakai Pos.",1,seminggu lalu
Kantor Pos Jakarta Barat,Angga Alfiansah,"Pelayanan cepat, ramah dan tepat, ambil BSU disini cuma 1 menit. Karena memang hari minggu dan sepi.",5,2 minggu lalu
Kantor Pos Jakarta Barat,hendri kristiyanto,"Belum pernah transaksi disini sih, hanya mengantar
Tapi dilihat dari luar cukup luas, terutama parkirannya dan untuk parkir gratis ya
Posisi setelah hotel Ibis dan stasiun pesing arah grogol, tepatnya diseberang spbu shell
Semoga pelayanannya semakin baik kedepannnya, sukses terus Pos Indonesia",4,5 tahun lalu
Kantor Pos Jakarta Barat,Adha Yoga,"Di jam buka sampe jam 21:00 tapi jam 17:00 sudah tutup, kantor pos lain melayani sesuai jam sopnya",1,3 minggu lalu
Kantor Pos Jakarta Barat,Ayub Liwa,"BUAT teman teman yang lagi menunggu PIN adsense.
Coba langsung datang ke kantor pos ini
Karena pengalaman pribadi saya yg menunggu sudah 6 bln lebih PIN tak kunjung datang/dikirim ke alamat kita.
Ternyata pihak kantor pos tidak mengirim nya ke alamat penerima(saya kurang tau alasannya kenapa).
Dan karena sudah menunggu terlalu lama akhir nya saya datang ke kantor pos untuk menanyakan PIN tersebut.
Sesampainya di kantor pos ini saya langsung di arahkan ke CS nya. Tidak begitu lama PIN nya ternyata Sudah ada. Dan saya menerima PIN tersebut yg selama ini saya tunggu2 😀😀😀

Semoga membantu",5,3 tahun lalu
Kantor Pos Jakarta Barat,nur khomsah,"Mohon infonya dong, kalo naik kereta turun di stasiun apa ya? Setelahnya bisa jalan kaki atau naik kendaraan lg? Tnks",4,3 minggu lalu
Kantor Pos Jakarta Barat,Wafi Prilian,"Pelayanan ekspedisi terbaik, dan ternyata bisa bayar apapun di kantor pos 😍😍 …",5,Diedit 6 bulan lalu
Kantor Pos Jakarta Barat,Andina Agustianti,"Saya kasih bintang 5 untuk kantor pos cabang daan mogot jakarta barat karena pelayanan dan penjelasannya enak serta masuk diakal. Dr mulai satpam yang bertugas berjaga dipintu masuk hingga petugas di customer service.
Tarif parkir untuk mobil sekali parkir 1 jam nya rp. 5000. Cukup mahal sih ya 🤭
Area parkir juga luas baik untuk motor maupun mobil.
Tersedia jg jalanan masuk untuk kursi roda atau disabilitas.
Lalu, untuk tempatnya cukup bersih dan terawat. Jadi nyaman jg kalau nunggu antrian disini.
Untuk pelayanan ramah, penjelasannya juga detail. Kita dikasih no wa petugasnya jd sewaktu2 bisa bertanya terlebih dahulu tanpa harus kesana.
Untuk yang sedang menunggu pin google adsense untuk kamu yg tinggal domisili jakarta barat kamu bisa bertanya ke kantor pos disini (customer service). Karena google adsense semua di tmpatkab disini.  Dr penjelasan petugas sih knp tidak dikirim kerumah harus diambil karena dikhawatirkan takut hilang. Jd lewat satu pintu saja yaitu diambil disini.
Sekian ulasan dari saya.
Untuk memperoleh update an tmpt tmpt yang populer km bisa follow ya profile saya.
Terima kasih🙏",5,3 tahun lalu
