Pos Office Branch,User,Reviews,Rate,Date
Kantorpos Cabang Buntok,josh biley,"Mantap!!
Kantor pos satu-satunya yg ada di Buntok. Biasanya aku ngirim barang dari Jogja ke Buntok.
Dan ngambilnya di kantor pos Buntok.
Karena kalau ke lokasi alamat aku agak masuk pinggiran desa agak susah. Yah langsung ngambil dikantor pos aja. Sebelum ambil barang, mesti aku cek dulu pake nomor resi 11 digit buat mastiin barang udh sampe ampa belom. Pokoknya good luck kantor pos Buntok.",5,6 tahun lalu
Kantorpos Cabang Buntok,abhang U,Bang kode pos x brpa ya pos buntok ini .....,1,4 tahun lalu
Kantorpos Cabang Buntok,Tri Cahyo Kurniawan,"Good Service, hari minggu tetap buka",5,Diedit 7 tahun lalu
Kantorpos Cabang Buntok,Happy Grace Merllenne,Pelayanan Luar Biasa Memuaskan...,5,2 tahun lalu
Kantorpos Cabang Buntok,Yustinus Feriady,Kantor Pos,4,4 tahun lalu
