Pos Office Branch,User,Reviews,Rate,Date
Kantor Pos Cabang Balikpapan,Im Foodies,"Pos ini gk ada kurir atau bagaimana yaa .. barang saya sudah sampai tgl 17/08/24 di balikpapan, sampai tgl 05/09/24 Belum ada saya terima, dihubungi pihak pos pun tidak ada, dengan ongkir yang lumayan mahal sekitar 180rban dari jakarta ke balikpapan.. sangat tidak rekomendasi pelayanannya. 😖
Astagfirullah … …",1,11 bulan lalu
Kantor Pos Cabang Balikpapan,sultan imam assyafi'i,"Proses lamaaaaaaa si aditya prasetya rachman, ini kantor pos apa kantor rusak. Masa kirim paket aja lamaaaaaa gak ketulungan. Mending tutup aja sudah.",1,10 bulan lalu
Kantor Pos Cabang Balikpapan,Natha Umar,"kirim uang ke luar negeri sangat mudah,pelayanan nya juga bagus",5,Diedit 6 bulan lalu
Kantor Pos Cabang Balikpapan,Aisyah Latifah,"Kiriman tiba sesuai estimasi, aman, kurir ramah
Kantor pos jg punya produk PosAja dan PosPay  yang bisa didownload di aplikasi Play Store. Untuk melacak kiriman paket melalui PosAja ..bisaa.. atau ingin tau tarif kiriman juga bisa..
PosPay aplikasi  digital cashless bisa bayar belanja dengan Qris atau bayar tagihan2 finance , tag PLN, PDAM, setor zakat dll
Saya sdh mencoba...semua jadi mudaah.",5,Diedit 11 bulan lalu
Kantor Pos Cabang Balikpapan,FADLU ROBBI,Apakah kantor pos ini buka sekarang?,1,2 bulan lalu
Kantor Pos Cabang Balikpapan,aryo dwi pangga,"Payah, mending gak usah punya jasa pengiriman barang. Daripada kurirnya lelet kayak bekicot. Kebanyakan alasan.",1,setahun lalu
Kantor Pos Cabang Balikpapan,Ita Nizaar,Satpamx ramah tp petugas yg melayani pembayaranx curang....dinota tertera Rp 141.000 tp sy dsuruh bayar Rp 188.000....gmn ni ?...Jujurlah dlm pekerjaanmu maka berkahlah rezekimu...,2,setahun lalu
Kantor Pos Cabang Balikpapan,Rizal Ramadhan,Kantor pos paling mantap pelayanan nya,5,5 bulan lalu
Kantor Pos Cabang Balikpapan,Sari Architect,"2x kirim paket ke BLPP, gak pernah lancar. gagal pengantaran lah, antar susulan lah. dan pada akhirnya selalu harus chat CS biar segera di proses lebih lanjut. klopun gak ketemu alamatnya, kan bisa wa penerima, (meskipun alamat sy sdh jelas) lebih baik pke ekspedisi swasta drpd pke punya pemerintah klo kayak gini mah",1,2 tahun lalu
Kantor Pos Cabang Balikpapan,Indah Rahma,Kantor pos yang sanggat mengecewakan kurir memang sudah menghubungi saya tapi kenapa paket tidak pernah di antar makanya kantor pos sekarang sepi peminat pekerja nya lelet,1,2 tahun lalu
Kantor Pos Cabang Balikpapan,Sidiq Faizal,"Kantor Pos kebanggaan Balikpapan, pelayanan memuaskan dan sangat ramah..",5,7 tahun lalu
Kantor Pos Cabang Balikpapan,CODE LegendS,Kurirnya lelet,1,2 bulan lalu
Kantor Pos Cabang Balikpapan,Mbah Anto,Apakah paketan saya Uda datang,3,3 bulan lalu
Kantor Pos Cabang Balikpapan,citra hutami,"Saya sangat kecewa , karena ngirim dokumen penting dr penajam pake pos kilat harusnya tgl 15 juli 2020 sdah sampai , tetapi saya cek resi status gagal antar , smpe sekarang sdah 5 hari ga di antar juga , harusnya klo emng di sruh ambil sendiri telp no penerimanya dong , jgn diem begini , itu dokumen bukan sembarangan , penting mau di urus. Gmna Pos Indonesia ini kinerja makin memburuk , makanya sepi peminat mending ekspedisi lain.",1,5 tahun lalu
Kantor Pos Cabang Balikpapan,Unknown User,Paket saya dibuka paksa dan ada beberapa barang hilang saat saya menerima paket saya.,1,11 bulan lalu
