Pos Office Branch,User,Reviews,Rate,Date
Kantor Pos Banjarbaru,Huda,Saya lagi ada urusan untuk legalisir kantor pos bermaterai,5,5 tahun lalu
Kantor Pos Banjarbaru,Utari Ninghadiyati,Kantor pos banjarbaru berada dj jalan panglima batur. Tepatnya di samping kantor samsat. Kantor pos ini melayani berbagai keperluan mulai dari pengiriman barang secara pribadi maupun dari toko online. Juga untuk pembagian BLT atau pembayaran lainnya. Pelayanan di kantor pos sangat mudah. Jam operasional pun berlaku pada hari minggu.,4,4 tahun lalu
Kantor Pos Banjarbaru,Amang Shadau,ada menyediakan pelayanan kredit buat pensiunan kh,2,10 bulan lalu
Kantor Pos Banjarbaru,adi prasetia,Pelayanan yg ramah,5,8 bulan lalu
Kantor Pos Banjarbaru,Yie Srisa,"Pelayanannya cepat, ruang tunggunya cukup nyaman,tempat parkirnya lumayan luas",4,3 tahun lalu
Kantor Pos Banjarbaru,Luth “Luthfurrahman” Johari,Yang bikin males parkirnya bayar...,4,3 tahun lalu
Kantor Pos Banjarbaru,Hamdan Syarif,"Gedung boleh lebih rapi, paket 1 hari nyampek ,kok g ada kabarnya, tracking juga ga jelas",2,6 tahun lalu
Kantor Pos Banjarbaru,Daniel Dwi Kurniawan,"Pos Juara, pelayanannya sangat ramah, handak hari apapun buka tarus",5,setahun lalu
Kantor Pos Banjarbaru,Noona Yuna,"Ktanya buka dri jam 8 pagi smpe jam 4 sore, ditelp berulang2 kali kok gak ada yg angkat Hmmmmm",1,7 tahun lalu
Kantor Pos Banjarbaru,Noor Hikmah,Pelayanan cuma 1 loket,1,9 bulan lalu
Kantor Pos Banjarbaru,Rony Mulyan,"- tempat lumayan luas,  nyaman
- customer service nya lumayan
Banyak dan ramah",5,7 tahun lalu
Kantor Pos Banjarbaru,Shalik Farzana,Pos buruk tak pas janji  bicara ya......  Gaji tinggi tpi kualitas jelek,1,6 tahun lalu
Kantor Pos Banjarbaru,Lay Herman,"Satpam nya no toleransi, mati bpatak sorang aja sampean pak",1,5 tahun lalu
Kantor Pos Banjarbaru,Jeruk Manis,Kantor pos banjarbaru,5,setahun lalu
Kantor Pos Banjarbaru,Refaii Sastra29,Pelayanan nya cepat mba kasir nya cantik cuy 😂 …,5,6 tahun lalu
Kantor Pos Banjarbaru,Rudy Ucil Setiawan,Terbaik,5,7 bulan lalu
Kantor Pos Banjarbaru,Aaa Sss,Pelayanan bagus. Kalo tgl muda penuh...,5,8 tahun lalu
Kantor Pos Banjarbaru,Eka Purnamasari,Pelayanan cepat mudah,5,setahun lalu
Kantor Pos Banjarbaru,Muhammad Rizwar Maulana,Pelayanannya bagus dan cepat,5,setahun lalu
Kantor Pos Banjarbaru,Andhika Noor Aji Krisna,Satpamnya kalo ngantuk disuruh pulang aja istirahat,3,6 tahun lalu
Kantor Pos Banjarbaru,MeilyFt,"Pegawainya ramah semua, weekend juga tetap buka",5,5 tahun lalu
Kantor Pos Banjarbaru,iis Permata sari,"CS nya ngapain aja, ditelpon g pernah dijawab",2,5 tahun lalu
Kantor Pos Banjarbaru,Gusti RHF,Tidak perlu mengantri lama dengan parkiran luas,4,8 tahun lalu
Kantor Pos Banjarbaru,Nunadi Rahman,Pelayanan cs nya kada sopan,1,3 tahun lalu
Kantor Pos Banjarbaru,Salamah Salamah,Pelayanan lambat,3,2 tahun lalu
Kantor Pos Banjarbaru,Hendra Wirawan,Pelayanan cepat..,5,2 tahun lalu
Kantor Pos Banjarbaru,Chika Penelopez,Parkir murah . Pelayanan cepat dan ramah .,5,7 tahun lalu
Kantor Pos Banjarbaru,Patria Peter,"Layanan bagus, tempat bersih",5,4 tahun lalu
Kantor Pos Banjarbaru,Pram Muhammad34,Custumer Service kurang ramah,1,2 tahun lalu
Kantor Pos Banjarbaru,Mahfu Hadi,Dari dulu sudah pakai POS INDOSEIA 👍 …,4,6 tahun lalu
Kantor Pos Banjarbaru,Husni Mubarak,Sulit banget dihubungi.  Cs nya ngapain?,1,7 tahun lalu
Kantor Pos Banjarbaru,Nasrullah,Pelayanan baik dan ramah,5,Diedit 5 tahun lalu
Kantor Pos Banjarbaru,lokalarea ari3,Pelayanan bgus,5,7 tahun lalu
Kantor Pos Banjarbaru,Halimatus Sa’diah,Puncak tema alat komunikasi,5,7 tahun lalu
Kantor Pos Banjarbaru,Mimoth Moranica,Pelayanan sangat baik,4,7 tahun lalu
Kantor Pos Banjarbaru,Muhammad Huzairi,padat dan sibuk,3,5 tahun lalu
Kantor Pos Banjarbaru,Siti Andalika,👍 …,5,5 tahun lalu
Kantor Pos Banjarbaru,kusno zain,Ayoo ke Kantor Pos..,5,3 tahun lalu
Kantor Pos Banjarbaru,Abdul Gani,Bagus... dan ramah..,5,8 tahun lalu
Kantor Pos Banjarbaru,The Small Ben,Cukup modern... 👍 …,5,7 tahun lalu
Kantor Pos Banjarbaru,Muhammad Riski Saputra,Ini sub pa Banjarbaru kah,2,5 tahun lalu
Kantor Pos Banjarbaru,Helmi Banjarbaru,Bermanfaat,3,8 tahun lalu
Kantor Pos Banjarbaru,Tri Arum Pandan Sari,Pelayanan PT POS Indonesia di daerah Banjarbar sangat baik....bisa kami undang untuk kelas induksi anak TK. Dua jempol untuk PT POS Indonesia,5,8 tahun lalu
Kantor Pos Banjarbaru,WAZIDI WZ,Pelana,5,5 tahun lalu
Kantor Pos Banjarbaru,Herlangga SP,Respon lambat,2,3 tahun lalu
Kantor Pos Banjarbaru,rara nadira,menyesap,5,6 tahun lalu
