Pos Office Branch,User,Reviews,Rate,Date
Kantorpos Tenggarong,Suyono,"Kita sudah jarang ke kantor pos, tapi kantor pos satu-satunya di kota Tenggarong ini tetap ramai pengunjungnya.",4,8 tahun lalu
Kantorpos Tenggarong,ta ri,"Kantor pos Tenggarong sangat bagus pelayanannya
Hari Minggu Buka",5,Diedit 3 tahun lalu
Kantorpos Tenggarong,jday Tsaqif,"rqpi dan bersih, petugas juga cukup ramah terus yang penting masih muda2 😁 …",3,6 tahun lalu
Kantorpos Tenggarong,FISHER REINSTEIN,"Pelayanan Prima & Ramah.

Karyawannya sigap dalam melayani pengunjung.",5,6 tahun lalu
Kantorpos Tenggarong,Fadli Maha,"Pelayanan lebih prima, tertib dan teratur serta suasana yg lebih nyaman",4,7 tahun lalu
Kantorpos Tenggarong,Nursiono Nursiono,Pengiriman nutrisi untuk turun berat badan,4,2 tahun lalu
Kantorpos Tenggarong,Yhani sah,apakah hari in buka kator pos ny kak,5,4 tahun lalu
Kantorpos Tenggarong,Yuda patria setiawan,"Assalamu'alaikum
Buka rekening bank BTN kah",5,4 tahun lalu
Kantorpos Tenggarong,Fitri Apriyani,Layanan cepat tepat dekat akurat amanat,5,7 tahun lalu
Kantorpos Tenggarong,Shamiira Dhanye,"pelayanan ramah, cepat...",5,5 tahun lalu
Kantorpos Tenggarong,Mukh dan,Pelayanan lebih lengkap,4,7 tahun lalu
Kantorpos Tenggarong,eLeven Ly,Bagusss,5,4 tahun lalu
