Pos Office Branch,User,Reviews,Rate,Date
Kantorpos Samarinda,Zainul Rivai,"Tolong perbaiki kinerja dan pelayanan nyaa, karna di kantor pos wachid hasyim samarinda kyk nya kurang bnget pelayanan nya di banding kantor pos lain, sekilas cerita aja nih yaa... sya td siang mau kirim uang dan ada sedikit kendala, bukan nya di arahkan/di bina malah di suruh gk usah kirim aja 😨😨.. tolong ajaa saya bayar jasa mereka dan gk gratis tp malah di gitu kan..,
Trus tingkat kejujuran nya jga kurang uang yg saya kasih lebih, malah di bilang pas, dan sya suruh hitung lgi karna sya sengaja mau ngetes, trnyata mmg lebih..  dan mas nya hanya terdiam saja 😏😏😏",1,6 tahun lalu
Kantorpos Samarinda,Sakura TV,"Salah satu kurirnya tidak mau antar barang ke ALAMAT PENERIMA COD, malah customer saya di suruh ambil paket di kantor pusat. Ongkirnya sudah mahal pula saya rugi ongkir krn sistem cod. Mohon pelayanannya sbg kurir",1,4 tahun lalu
Kantorpos Samarinda,Noldi Aldi,"Salah satu tempat untuk pelayanan publik, yaitu untuk jasa Expedisi, pengiriman barang, pengiriman dokumen seperti surat lamaran, dan masih banyak yang lain dan terletak di tengah kota, dan tidak jauh dari Pasar Pagi Dan berhadapan dengan Sungai Mahakam.",4,7 tahun lalu
Kantorpos Samarinda,andrian syah,"Ceck resi pengiriman barang sdh tiba d samarinda selama 4hari tp blm dkirim, di ceck kembali setatus sudah di terima, padahal barang blm di antar dan saya terima sampai sekarang.
Perbaiki pelayanan.",1,3 tahun lalu
Kantorpos Samarinda,Mas Dians,"Mau kirim uang dsuruh tunggu pergantian shift dulu pdhl sudah setgh jam lebih mnggu!!
Harus seribet itukah pelayannya??",2,2 tahun lalu
Kantorpos Samarinda,Fatwa Aini,"Saudara sy kirim paketan tgl 25 sept katanya maks 5 hari sampai,tp tp  udh mau 2 minggu,udh tgl 6 okt blm sampai,cek resi terhenti di tgl 25 aja,masih di bontang,tlpn kantor pos bontang katanya msh di samarinda,tlpn kanrot pos samarinda ga di angkat2... Harusnya kan ada CS yg bagian penerimaan tlpn,soalnya kita maketin barang juga bayar,beli barangnya pake duit,tp ko pelayanannya sangat mengecewakan begini.",1,6 tahun lalu
Kantorpos Samarinda,A . Kholifatunnisa,Kirim barang dari 19 mei sampe sekarang 9 juni blm sampe. Cek resi udah diterima atas nama saya 9 juni...tp saya gak nrima apa2. Telp kantor pos pusat samarinda berpuluh puluh kali gak diangkat.,1,7 tahun lalu
Kantorpos Samarinda,Rahmaniah Tri,"Pernah hits pada zamannya. Walaupun tidak sepopuler di masa lalu, tetapi masih menyimpan banyak cerita di tempat ini.",5,setahun lalu
Kantorpos Samarinda,Kang Trisno,"Kantor pos pusat di samarinda. pada zamannya kantor pos ini sangat ramai dikunjungi. dulu suka liat tukang lukis di depan kantor pos, kalo pas waktu mendekati lebaran banyak yg jual kartu lebaran. karena dulu ngucapin kartu lebaran masih menggunakan surat. Waktu sudah lama berlalu he..he..",4,6 tahun lalu
Kantorpos Samarinda,Key MIX One,"Sangat mengecewakan barang kiriman hp hilang {dicuri} barang udah sampai tujuan pekingan bagus tanpa lecet, eh pas dibuka pekinganx barang gk ada cuman kotak hp aja n ada bekas sobekan pada kotak hp tsb, kira2 siapa ?? Kariawannya tolong cari yg lbih jujur pak, mengecewakan sekali",1,8 tahun lalu
Kantorpos Samarinda,Dandi Alimin,Paket kilat macam ap ini paket saya Uda 9 hari belum datang datang nyesal saya leawat pos padahal saya pake Pakat kilat khusus paling lambat 7 hari ini Uda mau hari 10 paket Masi antaran pos indo makin tahun makin ga bagus👎👎👎 …,1,4 tahun lalu
Kantorpos Samarinda,Prianto Mi_note9,"Seperti apa mau mengalahkan pesaing swasta, paket 10 hari di kantor kota tujuan ga di antar antar. Mesti di ambil sendiri",1,3 tahun lalu
Kantorpos Samarinda,ryan,"sangat tidak relevan, pembagian dana aja 1 planet. org dibagi buat berapa kelurahan per hari. cuman 500 ribu doang hadehh, dananya aja bnyk dikorupsi",1,2 tahun lalu
Kantorpos Samarinda,Vita insani Manik,"Kenapa ini paket saya tdk bsa d lacak .. saya hub i no kantor posnya g bsa .

Tolong d respon yah
Saya kmarin krim d kantor pos jln gaja mada
Paket g bsa saya lacak pdahal itu paket pnting . Berkas untuk Pt. taspen",1,4 tahun lalu
Kantorpos Samarinda,Abdul Karim,"Kalau barang rusak di kantor pos jangan di kirim ke penerima, dan harusnya langsung ganti rugi jangan malah nyalahin kantor pos pengirimnya.
Sudah tau rusak malah di perbaiki trus di kirim ke penerima",1,6 tahun lalu
Kantorpos Samarinda,Wardireplay Setiawan,Tetap eksis,5,setahun lalu
Kantorpos Samarinda,agungprastio _,"Kenapa paket saya dibatalkan terus dengan kurir, udh  berhari padahl cuaca okeh , miris bnget kurirnya",1,4 tahun lalu
Kantorpos Samarinda,Muhammad Noor Ansyari,Pelayanan buruk. Saya memilih jasa pengiriman 3 hari. Baru sampai tujuan seminggu bahkn pernah saya sampai 12 hari.,1,7 tahun lalu
Kantorpos Samarinda,fried potato,Terus lakukan perbaikan dan berikan layanan terbaik,5,setahun lalu
Kantorpos Samarinda,obed nego,Maaf mau tanya ini kantor post di pusat barang di kirim dari desember 2021 ko baru di antar sekarang dengan alasan tidak ada orang di kantor. TIDAK BERTANGGUNGJAWAB,2,3 tahun lalu
Kantorpos Samarinda,Fathur Rachim,"Kantor pos induk (kantor pos besar) di Samarinda, biasanya saya langsung ngambil paketan barang disini karena jika nunggu dianter bisa nambah 1 hari lagi.",5,9 tahun lalu
Kantorpos Samarinda,Sugiarto Sugi,"25 mei 2022, pelayanan tidak memuaskan, meja no.6 di tanya tidak tau apa2, tolong tingat kan !!",1,3 tahun lalu
Kantorpos Samarinda,Kang Achi,"melayani semua layanan pos,pembayaran,pengiriman dsb, counternya cukup banyak jadi antrian tidak terlalu panjang",4,8 tahun lalu
Kantorpos Samarinda,Ovita Raisa,"Dear kantor pos samarinda, jangan cantumkan nomor telpon pelayanan anda kalau ditelpon pada saat jam pelayanan tidak pernah diangkat sama sekali. Kalian mengecewakan!",1,8 tahun lalu
Kantorpos Samarinda,Riska Lika,KANTOR POS TIDAK BERTANGGUNG JAWAB MINTA KIRIM BARANG LEWAT LAUT MALAH KIRIM LEWAT UDARA. HILANG DAN TIDAK BERTANGGUNG JAWAB,1,setahun lalu
Kantorpos Samarinda,Ricky Saputra,"Barang saya kemaren ada di Banjarmasin tgl 23 koq sampai sekarang gak datang"" .. mmg berapa hari dari Banjarmasin ke smarinda",1,6 tahun lalu
Kantorpos Samarinda,Fahmi Ali,"Kapan ya paket daya di antar mohon tanggapan nya..
Nama fahmi ali
No hp 085718065798",5,4 tahun lalu
Kantorpos Samarinda,Aisyah Rahmadayanti,"mau nanya kira"" lama pengiriman kl leewat kanto pos ini brp hari ya smpenya ke samarinda? sya udh nunggu seminggu blm smpe"" juga",3,7 tahun lalu
Kantorpos Samarinda,Neneng Lacan,"Barang saya pakaian dan kue kering sampai dengan keadaan kurang, bagus dan pakaian saya digigit tikus.",1,3 tahun lalu
Kantorpos Samarinda,Eza Daresta,"Pelayanannya ramah, Tempatnya luas & harganya sedikit lbh murah dr expedisi lainnya",4,7 tahun lalu
Kantorpos Samarinda,ratna manuela,"Murah meriah harganya dan pas di kantong, rasanya juga enak gak kalah sm di resto",3,4 tahun lalu
Kantorpos Samarinda,Wini Ismiyani,"Pelayanannya cukup baik, jarang lama ngantri karena karyawannya mencukupi. 👍 …",5,8 tahun lalu
Kantorpos Samarinda,Fitri safitri,"paket saya ko belum sampai"" ya udah 8hari lih ini ??",2,7 tahun lalu
Kantorpos Samarinda,Rina,"gak ada satupun no tlp yang bisa dihubungin, baik kantor pusat atau cabang2nya..",1,8 tahun lalu
Kantorpos Samarinda,Romi Wahid,"Karyawannya ramah"" dan pelayanannya bagus dan tempatnya bersih",5,5 tahun lalu
Kantorpos Samarinda,Hikmatul Aliah,"Tempat luas, bersih, pelayanan yg baik dan cepat",5,5 tahun lalu
Kantorpos Samarinda,DIMAS HERIAWAN,Mungkin orang lain juga merasakan hal yg sama,1,3 tahun lalu
Kantorpos Samarinda,Muhamad Ali Ibrahim,Rutinitas pengangambilan barang kiriman dari daerah lain,5,2 tahun lalu
Kantorpos Samarinda,EGGI SUGARA PRATAMA,Ada nomor telpon yang bisa di hubungi kah? Kantor pos,1,3 tahun lalu
Kantorpos Samarinda,Oliviani Agustin,Kurang teliti saat packing barang,1,2 tahun lalu
Kantorpos Samarinda,Redho Vegara,Kantor pos pusat samarinda di telpon puluhan kali gak di jawab.payah.,1,6 tahun lalu
Kantorpos Samarinda,Ipin Black,Top global pelayanan buruk di samarinda,1,setahun lalu
Kantorpos Samarinda,wenny,Pelayanan tidak baik,1,8 bulan lalu
Kantorpos Samarinda,Moh Azis,Ngpain di ksih no tlfn tapi ngk bisa di hubungi. Payahhhh,2,7 tahun lalu
Kantorpos Samarinda,Ahmad Mursyid Nusuki,pelayanannya bagus tapi sayang parkirnya bayar,1,7 tahun lalu
Kantorpos Samarinda,hariyati sait,"Mudah dijangkau, pelayanannya terbaik",5,2 tahun lalu
Kantorpos Samarinda,dedhy doank,Tetap bertahan di tengah ketatnya persaingan,5,3 tahun lalu
Kantorpos Samarinda,Muhammad Reza,Pelayanannya kurang baik,1,2 tahun lalu
Kantorpos Samarinda,Amalia Widya,"tempat bersih, ruang tunggu nyaman, pelayanan ramah",4,5 tahun lalu
Kantorpos Samarinda,EVER BLUE,Apakah kantor pos skrng buka?,5,5 tahun lalu
Kantorpos Samarinda,Niken Bellani,Walaupun sepi tapi pelayanannya tetep oke,5,7 tahun lalu
Kantorpos Samarinda,Ruli Retno,Lokasi strategis. Kalau malam cukup ramai,3,7 tahun lalu
Kantorpos Samarinda,ema fatmawati,Pelayanannya memuaskan dan karyawannya rMah,4,7 tahun lalu
Kantorpos Samarinda,Syamsuddin Hamma,Tempat beli materai n jasa kirim barang,3,7 tahun lalu
