Pos Office Branch,User,Reviews,Rate,Date
Kantor Pos Indonesia Makassar,Udien 456,"Pak/buk mau tanya klo kirim paket  dari Semarang ke Makasar Lewat kantor pos bisa gak. Tapi paketnya di titipin di kantor pos, nanti di ambil si penerimanya  ke kantor pos. Klo paket nya udah sampai di kantor pos. Di paket itu udah tercantum nomer wa dan nama penerima",5,setahun lalu
Kantor Pos Indonesia Makassar,irvin nickolas,"Sangat bagus dan besar, tempat parkir juga lumayan, pelayanannya juga sangat ramah",5,3 tahun lalu
Kantor Pos Indonesia Makassar,Inggrid Makalew,Sekarang tersedia layanan drive thru jadi ga perlu repot2 parkir dan turun antri. Kalo sekedar mau kirim surat (yg penting data alamat lengkap) bisa langsung dsitu. Mau beli materai jg bisa.lewat situ👍🏻 …,5,2 tahun lalu
Kantor Pos Indonesia Makassar,Ilham Muhammad,Apakah sudah bisa pencairan BSU??,5,sebulan lalu
Kantor Pos Indonesia Makassar,Dyan HRD 1994,"Keren Kantor Pos Selalu Berinovasi👏👏👏
Jam Layanan Senin-Minggu Tetap Buka
Petugas ramah 😍😍😍 …",5,Diedit 8 bulan lalu
Kantor Pos Indonesia Makassar,Hadi Purnomo,"Kantor pos ini lokasinya strategis, tempat parkir luas",4,6 bulan lalu
Kantor Pos Indonesia Makassar,Clash Royale,"Kurir pos nya tdk becus ,paket sdh ada alamat lengkap ,no hp penerima,bisa2 nya diantar ke tempat lain ,kembalikan paket saya!!!",1,setahun lalu
Kantor Pos Indonesia Makassar,prihastri septianingsih,"Salam, saya kecewa dengan pelayanan karyawan kantor Pos, belum sesuai dengan slogannya.
Saya berharap mengirim via Pos dengan pengiriman Expres, dpt 1 hari sampai, tapi malah mengecewakan.
Hari Rabu, tgl 4 saya kirim berkas ke daerah Mampang Jakarta Selatan berharap Kamisnya sdah sampai, krn berkas hari Jum'at mau dipakai anak utk setor berkasnya. Sudah jelas alamtnya Mampang itu Jakarta Selatan tapi sampai di Jakarta kenpa nyasar kemana-mana akibatnya sampai Kamis malam berkas belum smpai, akibatnya anak saya batal ikut tes krna berkas tidak sampai.

tolong juga Bapak pimpinan, kenapa berkas saya beralamat ke Mampang kenapa ternyata dituliskan arah Tulung Agung, kan beda jauh sementara di Mampang ada kantor Pos cabang. Kami sangat dirugikan, terutama putri kami yg sangat kecewa krn keterlambatan ini tolongkahnkinerja diperbaiki lagi jangan sampai terjadi kesalahan fatal lagi seperti ini san merugikan konsumen. Hal ini yg dpat menyebabkan keTIDAK percayaan lagi pada Kantor Pos.  Sebagai ornagtua kami juga sedih lihat anak yang jadi kecewa atas peristiwa ini. terimakasih.",3,3 tahun lalu
Kantor Pos Indonesia Makassar,Waode Ruhana,"Mesin antriannya tidak berfungsi,pakai manual,security-nya kurang aktif.jadi agak amburadul antriannya.pelayanan okelah.",3,setahun lalu
Kantor Pos Indonesia Makassar,Prananda Putra,"Pelayanan Memuaskan, sejauh ini layanan reguler ke pulau jawa pos sih",5,8 bulan lalu
Kantor Pos Indonesia Makassar,fuji An,"Paling tidak suka dipelayanan pengambilan pin google ads, pelayanannya kurang aja, malas. Kita baru datang mau tanyakan ads udah ada apa belum,, eh Pelayanan langsung bilang tidak ada padahal belum dicari sudah bilang tidak.
Trus saya minta tolong sama pelayanannya minta dihubungi kalau pin nya sudah datang,trus nanti saya kasih uang pembeli rokok.ehh besok nya  langsung dia hubungi saya dong katanya sudah ada, berarti disitu harus dibayar dulu yah baru dicarikan ?",1,2 tahun lalu
Kantor Pos Indonesia Makassar,Kurniawan Adhie Pratama,"sistem penerimaan pensiun lelet sekali,banyak pegawai yang duduk di loket tapi yang aktif cuman satu loket dan lama prosesnya per 1 org",1,2 tahun lalu
Kantor Pos Indonesia Makassar,Hawra Insiyah,"Luar biasa, lancar, ada antrian tapi karena banyak loket yang tersedia jadinya lebih cepat. Buka sampai jam 9 malam, buka walaupun hari libur.

Visitmakassar
IG @visitmakassar_
FBpage @visitmakassarcity",5,4 tahun lalu
Kantor Pos Indonesia Makassar,Avia Monisa,"Pelayanan sangat lambat sekali , datang jam 7 pagi sampai jam 11 belum d layani",1,setahun lalu
Kantor Pos Indonesia Makassar,Hasniah Niah,kantor pos seharus memperhatikan tanggung jawab pelayanan PBB pada constumernya.soal aq uda bayar di kantor pos ko saya cek di rekaman datanya di kantor  dispenda katax belum terbayar ko bisa ya.,1,8 tahun lalu
Kantor Pos Indonesia Makassar,Gabriella Maharani,Payah nih kantor pos. Kemarin ngirim paket dari Manado-Makassar jam 7pagi dengan pilihan One Day Service sampe sekarang belum nyampe2. Padahal ngirim sesuatu yg urgent dan cost pengirimannya lumayan mahal.,1,8 tahun lalu
Kantor Pos Indonesia Makassar,Baharuddin Bfm,Jam pelayanan CS nya tidak on time petugas Customer service nya belum datang 9:30 Wita. ini sudah berjalan sejak lama tidak ada perubahan/perbaikan tolong dibenahi pelayanannya.,1,2 tahun lalu
Kantor Pos Indonesia Makassar,Formosa Solata,"Paket saya di tracking, infonya tidak ada orang,. Padahal ada orang dalam rumah... Emang beneran di antar???",2,setahun lalu
Kantor Pos Indonesia Makassar,Abdul Muttalib,"Kantor pos besar dan bersejarah di kota Makassar yg msh berdiri kokoh.
Gedung peninggalan semasa msh penjajahan Belanda meskipun telah mengalami renovasi.
Dulu di samping maupun di depan kantor pos terbesar di kota Makassar ini berjejer lapak-lapak pk5 yg menjajakan perangko,koran,makanan,minuman hingga barang-barang souvernir khas Sulawesi Selatan.",5,4 tahun lalu
Kantor Pos Indonesia Makassar,Sacha Dalnarbi,Sekarang kirim barang lewat kantor pos sdh lebih bagus and lebih baik dari pada yang dulu. Sudah bisa bersaing dengan perusahaan pengiriman barang yang lain,4,7 tahun lalu
Kantor Pos Indonesia Makassar,Kurooo,"Pelayanan pegawai cukup bagus, gedung bangunan otentik bangunan lama. Terdapat tenan penjual makanan di samping gedung utama",4,2 tahun lalu
Kantor Pos Indonesia Makassar,Zeshan Shanov,"Kalau mauki kirim barangta melalui kantor pos, magerki keluar rumah tenang ada pos instan siap menjemput paket anda hub.0812-2224-0198",5,3 tahun lalu
Kantor Pos Indonesia Makassar,Yehezkiel Fridly,"Pelayanan cepat bahkan di hari Minggu.
Stafnya ramah dan lokasinya letak di pusat kota.
Proses pengiriman barang juga cepat.",5,3 tahun lalu
Kantor Pos Indonesia Makassar,Zakaria M. Sungkusara,"Seperti biasa..bersih, rapih dan pelayanannya bagus",5,4 tahun lalu
Kantor Pos Indonesia Makassar,Yodi Hanidi,"Kantor Pos Besar Makassar.
Paling ramai setiap awal bulan saat para pensiunan ambil uang pensiun.
Ada drive thru-nya juga lho.",4,Diedit 8 tahun lalu
Kantor Pos Indonesia Makassar,Adnan Abdullah Alamsyah,"Pelayanan cepat, parkiran luas, kantin lengkap, musholla yg nyaman..👍🏼👍🏼 …",5,setahun lalu
Kantor Pos Indonesia Makassar,ilham basri57,Bersih dan pelayanannya ramah dan sopan...,5,7 tahun lalu
Kantor Pos Indonesia Makassar,Herra Vlatte,Pengiriman paket dlm keadaan baik dan proses pengiriman cepat,5,setahun lalu
Kantor Pos Indonesia Makassar,AR Channel,"Tidak ribet dan mudah transaksi Western Union,, tanpa pungut biaya tambahan saat penerimaan",5,7 tahun lalu
