Pos Office Branch,User,Reviews,Rate,Date
Kantor Pos Banjarmasin,Siskanelly Karyawati,"Berhati-hati lah dalam pengambilan gaji dikantor pos ini, karena pelayanan kantor pos terutama dibagian pengambilan gaji pensiunan, karena percaya aja dengan pelanyanannya, jadi gak menghitung ditempat.. ternyata uangnya kurang sampai 200rb
Saran saya lebih dicek kembali, dihitung kembali",1,2 tahun lalu
Kantor Pos Banjarmasin,Akhmad Aza,"Wah sekarang kantor pos pelayanan ny makin bagus, baik, dan ramah terhadap konsumen
Dan pelayanan sangat cepat tanggap,
Proses pengiriman juga ternyata lebih cepat dri pengiriman yg lain, mantap lah buat kantor pos👍🏻",5,2 tahun lalu
Kantor Pos Banjarmasin,Abdul Aziz Al Banjary,"Katanya buka jam 07:30, faktanya petugasnya belum datang dan baru operasional jam 08:00

Infonya tutup jam 20:00, tapi Pelayanan pindah bagian bawah (khusus paket saja). Pembelian benda pos (materai) tidak disiapkan nota.",1,2 tahun lalu
Kantor Pos Banjarmasin,T W,"Layanan publik kok tidak mencantumkan nomer layanan telepon. Sudah lama berdiri tidak ada kemajuan layanan masyarakat. Kalah jauh dengan layanan ekspedisi spt JNE,JNT, dll. Paket udah sampai pun tidak dikonfirm, sampai pelanggan yg cari2 infonya kenapa brg tidak diantar2. Memang SDM BUMN sptnya banyak yg kurang totalitas dalam bekerja.",1,4 tahun lalu
Kantor Pos Banjarmasin,deedii JUN,Semakin baik dan lebih cepat 👍👍👍 top deh …,5,setahun lalu
Kantor Pos Banjarmasin,Cacieng Kermie,"Masak saya mau kirim hp yg beratnya gak sampe 1 kg ke jawa timur malah kata petugas posnya harus di paking dengan kayu dan di hitung beratnya 10kg dan biayanya jadi 400rb. Kantor pos semakin gak masuk akal...
Padahal dulu saya kirim hp yg lbih besar dari nabire papua ke jawa timur ongkosnya cma 130 itu sama ongkos paking kayunya.. kantor pos kalsel gak beres ini",1,5 tahun lalu
Kantor Pos Banjarmasin,INDRA PRANATA,"kecewa sama kurirnya, surat tidak di terima sama penerima, bahkan foto di bukti pintu saja, sudah tau ada banyak motor depan rumah dan orang didalam rumah ada orangnya, tetapi kurir malah naroh paket surat cuman di taroh depan pintu saja, lain kali kalo ngantar paket langsung serahkan ke orang yang ada didalam rumah mas, jangan di foto surat tadi di taroh di pintu, takutnya hilang masss",1,2 tahun lalu
Kantor Pos Banjarmasin,biji meledak,"Pelayanan tidak ramah, saya bertanya tentang barang saya malah di jawab ""tidak ada²"" Secara langsung. Padahal pengiriman barang saya sudah 3 bulan lebih tapi tidak di antar ke rumah saya, saat di ambil ke kantor pos nya malah dapat jawaban yang tidak ramah_-",1,3 tahun lalu
Kantor Pos Banjarmasin,fauzi,"Barang dikirim dialamatkan ke rumah,bayar sampai ke rumah, disuruh ambil ke kantor post,.!!!
alasannya Krn pengantaran maksimal jam 12 siang,????!!
Biaya makin mahal pelayanan sangat MENGECEWAKAN,
Bila pelayanan tdk ditingkatkan saya yakin postindonesia terancam bangkrut Krn semakin bnyk saingan swasta yg selalu memperbaiki layanan,
""Semoga dibaca oleh manajemen postindonesia""",1,7 tahun lalu
Kantor Pos Banjarmasin,Arief Budiman,"Ngambil paket hari minggu tidak bisa dengan alasan tidak ada kunci gudangnya.. helloo? Gimana kalo paketnya penting? Namanya pos kilat, express nyatanya  pos lelet. BUMN tapi kalah sama swasta, selain barang tidak diantar hari minggu, ngambil barang sendiri juga tidak bisa. Apa gunanya tu kantor buka, cuma ngobrol doank petugasnya di dalam. Telepon tidak ada yang tercantum pula, useless.",1,6 tahun lalu
Kantor Pos Banjarmasin,hafizhah,Kirim barang dr jogja sejak tanggal 26 april. tanggal 4 mei 2018 status barang sudah di antar ke kertak baru. Sampai hari ini tanggal 8 mei 2018 tdk ada input dr kertak baru yg menunjukkan dimana posisi barang. Mengecewakan. Bikin jeraaaaa,1,7 tahun lalu
Kantor Pos Banjarmasin,Syarifah Syifa Fauzia Syahab,Bayar parkir. Andai free. Kalau kfc nya yang bayar parkir oke lah. Tapi pos jadi ikut2an harus bayar parkir juga. Cuma bentar ah. Ke jnt jne saya biasa gk bayar wkwk 😄 kalau kita olshop trs kirim pke pos  harus nombok uang parkir trs.. …,2,6 tahun lalu
Kantor Pos Banjarmasin,Elka Kael,"Kantor Pos pusat yang memberikan layanan pengiriman barang dan jasa pembayaran berbagai macam tagihan, lokasinya diatas KFC dan mudah dicapai karena persis di tengah tengah pusat kota, pengambilan barang juga dilakukan disini",5,8 tahun lalu
Kantor Pos Banjarmasin,Faisal Rifani,Bagaimana mau bersaing dengan ekspedisi yg lain kalau parkir nya aja bayar. Sedangkan di tempat ekspedisi yg lain gratis bahkan seperti JNE dan TIKI dijaga oleh satpam... Tingkatkan lagi dong pelayanannya....,1,5 tahun lalu
Kantor Pos Banjarmasin,Simbok Lala,Barang dikirim dari Madiun ke Banjarmasin pos kilat ditanggal yg sama 28 Januari 2020...sampai sekarang tgl 3 Februari 2020 belum diantar antar padahal sudah 6 hari di banjarmasin... kapok kayanya pake pos..mending swasta sekalian lain kali kalo mo onlineshop lagi👎👎👎👎👎👎 …,1,5 tahun lalu
Kantor Pos Banjarmasin,Anyyy Fitri,"Masuk kesni lgsg bayar tunai parkirnya,, pelayaanan Front office nya ramah, lumayan cepat, nomer antrian msh manual sistem panggil, kalau barang tdk ada bisa lgsg ke bagian belakang gedung, di bagian pengantaran",3,6 tahun lalu
Kantor Pos Banjarmasin,suka zuki,"pelayanan nya cepat, tidak antri, parkiran cukup luas.",4,6 tahun lalu
Kantor Pos Banjarmasin,Arief Madihin,"Secara pelayanan front office (meja depan) sudah lebih baik jika dibandingkan rata-rata kantor pos yang lebih kecil se kalimantan selatan. Pelayanan ramah dan satpam yang cepat tanggap sangat membantu. Untuk masalah keterlambatan pengiriman dll, itu sepertinya kesalahan sistem dari kantor pos se indonesia sendiri, bukan khusus utk wilayah banjarmasin",4,6 tahun lalu
Kantor Pos Banjarmasin,yunan aza,"Pelayanan sangat baik dan ramah, cs ny juga ganteng2 slebew
Semangat terus buar karyawan loket pos",5,2 tahun lalu
Kantor Pos Banjarmasin,vierry piaggio,"Masa hari sabtu Kantor Pos Besar (pusat) tutup, harusnya pelayanan pengiriman buka donk di Jawa aja buka terus masa di Kalimantan sabtu tutup, saran kalau hari sabtu tetap buka & minggu buka 1/5hari aja",1,8 tahun lalu
Kantor Pos Banjarmasin,Idar Ida,"Kenapa barang ku belum dikirim, kenapa tidak ada no telpon bisa di hubungi dikantor pos",5,setahun lalu
Kantor Pos Banjarmasin,Alpian Ian,Pelayanan sangat memuaskan.... Kantor pos banjarmasin mantap,5,11 bulan lalu
Kantor Pos Banjarmasin,putri mainy,Kantor saya membuka outlet gadai emas & cicil emas disini,5,6 tahun lalu
Kantor Pos Banjarmasin,muhammad sarbani,Karyawannya banyak yg nga ada di tempat...mengecewakan..,1,10 bulan lalu
Kantor Pos Banjarmasin,Hendrik Gunawan,"Untuk KFC kantor pos banjarmasin saya kecewa karena saat minta dada kata nya sudah tidak membikin lagi, tp setelah antrian lewat ternyata ada lagi.  Saya sungguh kecewa",1,6 tahun lalu
Kantor Pos Banjarmasin,Argiansyah Argian,"Kantor pos sekarang semakin mengerti keinginan konsumennya, pelayanan terbaiklah pokonya❤️",5,2 tahun lalu
Kantor Pos Banjarmasin,Andri Andri,Pelayanan nya sangat tidak memuaskan!!! Barang saya dari tanggal 5 Mei dikirim sampai sekarang belum ada kabar,1,5 tahun lalu
Kantor Pos Banjarmasin,Abdu Rofi,"Ngirim surat di pos besar kagum sama pegawai nya ngetik keyboard nya sambil tatap muka cepet ngetik nya dan sopan, pegawai bumn mantep bgt dah.",5,5 tahun lalu
Kantor Pos Banjarmasin,DINA SPT,Setiap belanja ecommerce pakai kantor pos . Selalu cepat bgt di banding expedisi tetangga hehehe,5,setahun lalu
Kantor Pos Banjarmasin,Dewinu85,Pelayanan ramah..jaya terus kantor pos banjarmasin,5,11 bulan lalu
Kantor Pos Banjarmasin,Aby Faqih,Kenapa Ektp Isteri saya belom sampai sampai terhitung sejak tanggal 28 agustus 2020 sudah di cetak di kantor camat banjarmasin baratsampai tanggal 05 september belom sampai kerumah???????,1,4 tahun lalu
Kantor Pos Banjarmasin,Mahatir Nasuha,"Cetak resi pakai kertas bekas, karyawan laki2 yg gondrong gk ada sopan santun udah tau salah",2,3 tahun lalu
Kantor Pos Banjarmasin,Sutikno 92,Kak paket dengan nomer resi: SUTIKNO13 Apa masih ada di situ,5,setahun lalu
Kantor Pos Banjarmasin,Norfa Yulina J (Ova),"Kantor Pos besar kota Banjarmasin, di sekitar sana terdapat KFC, Starbuck dan Richeese",5,setahun lalu
Kantor Pos Banjarmasin,Zay Borneo,Kantor Pelayanan PT.Pos Indonesia yang sangat strategis dan menyenangkan,5,11 bulan lalu
Kantor Pos Banjarmasin,Sesiliana Ina Gorang,Sumpah pegawai nya baik2 bgt 😭 berkas ku ada yang salah ..dan mereka dengan ramahnya membolehkan memperbaiki berkas yg salah .. Semoga rezeki nya lancar terus.. Aamiin 🙇🏻🙇🏻🙏 …,5,5 tahun lalu
Kantor Pos Banjarmasin,My Laundry,"CS slow respon bahkan ujung2nya ga dibalas, selambat lambatnya tolong chat pelanggan dibalas agar ada kejelasan. Apa gunanya ada nomor WA dan CS. Mohon berbenah untuk SDM nya🙏🏻 …",1,3 tahun lalu
Kantor Pos Banjarmasin,Dzan Dzan,"Pos sekarang bisa pickup service yaa. Mantabb 👍🏼👍🏼
Semoga bisa di tingkatkan lagi kinerjanya …",5,3 tahun lalu
